"opt_k","trial","cde","sujeto","sesion","phase","cum_trial"
4,1,2,"M326",34,"training",9
3,1,2,"M326",34,"training",10
4,1,1,"M326",34,"training",10
3,1,1,"M326",34,"training",11
4,1,2,"M327",34,"training",11
4,1,2,"M327",34,"training",12
4,1,1,"M327",34,"training",12
4,1,1,"M327",34,"training",13
3,1,2,"M328",34,"training",12
3,1,2,"M328",34,"training",13
4,1,1,"M328",34,"training",14
3,1,1,"M328",34,"training",15
2,1,2,"M329",34,"training",8
1,1,2,"M329",34,"training",9
1,1,1,"M329",34,"training",6
1,1,1,"M329",34,"training",7
1,1,2,"M330",34,"training",8
1,1,2,"M330",34,"training",9
1,1,1,"M330",34,"training",8
4,1,1,"M330",34,"training",9
4,1,1,"M330",34,"training",10
4,1,2,"M331",34,"training",10
4,1,2,"M331",34,"training",11
4,1,1,"M331",34,"training",9
3,1,1,"M331",34,"training",10
3,1,2,"M332",34,"training",12
4,1,2,"M332",34,"training",13
1,1,1,"M332",34,"training",9
1,1,1,"M332",34,"training",10
3,1,2,"M333",34,"training",13
4,1,2,"M333",34,"training",14
3,1,1,"M333",34,"training",10
4,1,1,"M333",34,"training",11
4,1,2,"M326",33,"training",11
4,1,2,"M326",33,"training",12
4,1,1,"M326",33,"training",12
1,1,1,"M326",33,"training",13
1,1,2,"M327",33,"training",13
3,1,2,"M327",33,"training",14
4,1,1,"M327",33,"training",14
3,1,1,"M327",33,"training",15
1,1,2,"M328",33,"training",14
3,1,2,"M328",33,"training",15
1,1,2,"M328",33,"training",16
3,1,1,"M328",33,"training",16
1,1,1,"M328",33,"training",17
4,1,2,"M329",33,"training",10
3,1,2,"M329",33,"training",11
3,1,1,"M329",33,"training",8
3,1,1,"M329",33,"training",9
1,1,2,"M330",33,"training",10
1,1,2,"M330",33,"training",11
1,1,2,"M330",33,"training",12
4,1,1,"M330",33,"training",11
3,1,1,"M330",33,"training",12
4,1,2,"M331",33,"training",12
4,1,2,"M331",33,"training",13
1,1,1,"M331",33,"training",11
1,1,1,"M331",33,"training",12
3,1,2,"M332",33,"training",14
3,1,2,"M332",33,"training",15
3,1,1,"M332",33,"training",11
3,1,1,"M332",33,"training",12
4,1,2,"M333",33,"training",15
4,1,2,"M333",33,"training",16
3,1,2,"M333",33,"training",17
4,1,1,"M333",33,"training",12
3,1,1,"M333",33,"training",13
4,1,2,"M326",32,"training",13
3,1,2,"M326",32,"training",14
4,1,1,"M326",32,"training",14
4,1,1,"M326",32,"training",15
3,1,2,"M327",32,"training",15
4,1,2,"M327",32,"training",16
3,1,1,"M327",32,"training",16
4,1,1,"M327",32,"training",17
4,1,2,"M328",32,"training",17
1,1,2,"M328",32,"training",18
4,1,1,"M328",32,"training",18
4,1,1,"M328",32,"training",19
4,1,2,"M329",32,"training",12
4,1,2,"M329",32,"training",13
3,1,1,"M329",32,"training",10
3,1,1,"M329",32,"training",11
3,1,2,"M330",32,"training",13
4,1,1,"M330",32,"training",13
4,1,2,"M331",32,"training",14
1,1,2,"M331",32,"training",15
1,1,1,"M331",32,"training",13
1,1,1,"M331",32,"training",14
1,1,1,"M331",32,"training",15
4,1,2,"M332",32,"training",16
4,1,2,"M332",32,"training",17
1,1,1,"M332",32,"training",13
3,1,1,"M332",32,"training",14
3,1,2,"M333",32,"training",18
3,1,2,"M333",32,"training",19
1,1,1,"M333",32,"training",14
3,1,1,"M333",32,"training",15
1,1,2,"M329",31,"training",14
3,1,2,"M329",31,"training",15
1,1,1,"M329",31,"training",12
3,1,1,"M329",31,"training",13
3,1,1,"M329",31,"training",14
4,1,2,"M330",31,"training",14
1,1,2,"M330",31,"training",15
1,1,2,"M330",31,"training",16
4,1,1,"M330",31,"training",14
4,1,1,"M330",31,"training",15
4,1,2,"M331",31,"training",16
4,1,2,"M331",31,"training",17
3,1,1,"M331",31,"training",16
3,1,1,"M331",31,"training",17
